Region,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2021 (current prices),
World,1521.3,1500.1,1454.3,...,1220.3,1172.2,1137.4,1081.7,1057.0,1075.3,1064.2,1083.6,1123.5,1148.3,1224.1,1313.7,1399.9,1454.1,1504.8,1564.2,1654.0,1768.1,1803.0,1806.5,1791.4,1757.2,1750.5,1777.6,1786.9,1810.2,1859.0,1932.1,1992.2,2006.6,2113.3,
Americas,726.3,719.1,686.9,607.5,636.9,608.1,581.1,547.1,519.0,513.6,505.3,507.2,525.0,532.0,591.4,664.7,721.8,755.7,767.9,791.5,849.4,915.4,940.5,930.6,883.1,821.1,775.6,761.3,758.1,756.7,778.8,818.6,856.2,845.8,883.4,41.80076775
North America,695.2,689.4,661.4,584.9,615.4,583.3,553.5,517.2,488.6,485.1,474.9,476.6,494.3,498.5,558.2,633.7,689.9,721.7,732.5,753.1,807.9,870.9,893.4,883.6,834.6,770.5,724.3,710.6,708.7,705.5,726.0,765.7,801.7,791.8,827.1,39.13872857
Asia & Oceania,137.9,145.1,151.8,154.5,161.6,165.4,166.5,171.3,175.6,181.8,182.1,191.5,196.7,208.0,217.8,226.9,240.5,252.5,266.8,282.8,300.0,337.7,345.3,358.1,374.2,390.5,411.1,433.8,456.2,476.8,494.9,519.4,534.2,553.1,586.1,27.56219565
Europe,571.6,556.7,514.6,...,331.7,310.2,303.8,281.5,280.3,283.2,273.8,279.1,287.6,290.3,297.5,304.0,307.9,305.6,316.4,325.0,333.9,338.6,332.0,326.5,329.4,324.0,327.3,335.9,347.8,339.3,345.9,363.7,381.3,392.6,417.8,19.77164556
East Asia,83.8,88.7,93.6,96.9,103.6,103.7,103.0,105.4,108.5,111.2,112.3,117.4,121.4,130.7,138.6,144.0,151.2,159.4,170.6,180.4,190.9,216.7,222.7,233.7,249.0,261.9,277.2,294.4,306.2,319.6,336.8,353.6,367.5,385.7,410.8,19.437268
Western Europe,279.2,280.5,283.2,278.1,267.2,254.8,249.2,238.8,238.0,237.9,239.6,243.8,246.4,246.8,250.1,254.6,257.1,249.0,254.9,257.4,262.8,267.8,260.9,251.7,246.6,238.5,235.4,235.5,243.1,247.6,252.2,262.8,275.8,285.1,305.0,14.43052126
Middle East,70.4,64.3,86.3,95.0,77.6,74.8,72.9,69.7,70.4,84.2,89.6,87.6,96.6,100.2,97.2,99.9,108.5,119.1,129.1,138.9,140.3,145.4,152.7,155.3,168.8,183.2,196.4,208.2,187.7,200.8,204.7,194.6,184.2,178.2,186.3,8.81644661
South Asia,25.6,26.6,26.7,25.8,25.4,28.0,28.2,29.5,29.9,32.0,33.1,37.3,38.7,39.9,39.9,40.9,46.6,49.2,49.9,50.8,56.1,64.9,65.8,66.9,67.0,66.8,70.6,71.7,78.0,83.4,87.8,92.7,90.1,90.8,95.1,4.498729952
Eastern Europe,260.0,241.0,203.9,...,44.3,39.1,37.8,25.4,24.0,26.5,16.2,17.7,23.6,25.3,28.1,29.7,31.2,36.0,40.6,45.3,49.7,50.3,51.2,55.5,63.8,66.7,71.9,77.7,81.6,66.9,65.7,69.2,71.5,73.2,76.3,3.6099972
