"","X1949","X1950","X1951","X1952","X1953","X1954","X1955","X1956","X1957","X1958","X1959","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","Country"
"Algeria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","3","3","3","3","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3","2","3","3","3","3","3","3","3","3","3","2","2","2","3","3","3","3","3","3","4","4","4","4","4","4","4","4","Algeria"
"Libya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2","3","2","2","2","2","3","2","3","4","4","3","3","3","2","2","2","3","3","2","2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","4","3","3","2","2","2","2","2","2","1","2",NA,NA,NA,"3","5","5",NA,NA,NA,NA,NA,NA,NA,"Libya"
"Morocco",NA,NA,NA,NA,NA,NA,NA,"2","2","2","2","2","2","2","3","2","2","2","2","3","2","2","2","2","3","3","3","4","4","4","4","4","4","4","3","3","4","3","3","3","3","3","3","3","3","3","3","3","3","3","2","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","Morocco"
"Tunisia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3","3","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","Tunisia"
"Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2","5","5","5","5","5","4","5","4","3","2","4","2","5","4","3","2","3","3","3","3","3","3","3","3","3","3","3","3","3","2","2","2","2","2","2","Angola"
"Benin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1","1","1","1","1",NA,"1",NA,NA,NA,"1","1","1","1","1","1","1","1","1","1","Benin"
"Botswana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2","3","3","2","2","2","2","2","2","3","3","3","3","3","3","3","3","3","2","3","3","3","3","3","3","3","3","2","2","2","3","3","2","2","2","2","2","2","3","3","2","2","3","2","Botswana"
"Burkina Faso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3","3","3","2","2","2","3","2","3","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","Burkina Faso"
"Burundi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1","1","2","2","2","2","2",NA,"2","2","2","2","2","2","2","2","2","2","3","3","3","2","2","2","2","3","3","3","3","3","3","3","3","4","4","4","4","3","4","4","4","3","3","3","3","2",NA,NA,NA,"2","2","2","2","2","2","2","2","2","2","Burundi"
"Cameroon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","Cameroon"
"Cape Verde",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2","2","2","2",NA,NA,NA,"1","1","1","2","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Cape Verde"
"Central African Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2","2","2","2","2",NA,NA,NA,NA,NA,"2","2","2","2",NA,"2","2","2","2","2","2","3","2","2","2","2","2","2","2","2","Central African Republic"
"Chad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","3","3","3","2","4","3","2",NA,"2","2","2","2","2","2","1","2","2","2","2","2","2","1","2","3","4","5","4","4",NA,"4","2","2","3","2","2","2","3","2","Chad"
"Congo, DR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,"3",NA,"3","3","4","3","3","3","4","3","3","3","3","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,"2","2","1","2","1",NA,NA,"1","2","2","2","2","1","1","1","1","2","2","1","2","2","1","1","1","1","1","Congo, DR"
"Congo, Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","3","3","3","3","3","3","3","3","3","3","3","3",NA,"2","2",NA,"3",NA,NA,NA,NA,"3","3",NA,NA,NA,NA,NA,NA,NA,"2","2","2","2","2","2","2","2",NA,"2",NA,NA,"2","4",NA,"4","3","2","2","3","2","Congo, Republic"
"Cote d'Ivoire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2",NA,"1","1",NA,NA,NA,NA,NA,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","Cote d'Ivoire"
"Djibouti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","2","5","5",NA,NA,NA,NA,NA,NA,NA,"4","4","4","4","4","4","4","4","4","4",NA,NA,NA,"4","4","4","3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Djibouti"
"Equatorial Guinea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2","2",NA,NA,NA,NA,"1","2","2","2","2","2","2","2","Equatorial Guinea"
"Eritrea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","5","5","5","5","5","5","5","5","5","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eritrea"
"Ethiopia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2","2","2","3","3","2","2","2","2","2","2","2","2","3","3","3","3","4","5","5","5","5","5","4","4","4","5","5","5","4","3","3","2","2","2","3","5","5","5","3","3","3","3","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","Ethiopia"
"Gabon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2","2","2","2","2","2","1","1","1","2",NA,"2","2","2","2","2","2","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2","2","2","2","2","2",NA,NA,NA,"2","2","2","2","2","2","2","2","2","2","2","2","Gabon"
"Gambia, The",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1",NA,NA,"1","1","2","2",NA,NA,"1","1","1","1","Gambia, The"
"Ghana",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2","2","2","2","2","2","2","2",NA,"2","2","2","2","2","2","2","2","2","2","1","1","1","1",NA,"1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Ghana"
"Guinea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"2","2","2","2",NA,NA,"2","2","2","2","3","3","2","2",NA,NA,NA,NA,NA,NA,NA,"2","2","2","2","2","2","2","2","2","2","Guinea"
"Guinea-Bissau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1","1","1",NA,"1",NA,NA,NA,NA,"1","1","1","1","2",NA,"2","2","2","2",NA,"2",NA,NA,NA,"2","2","2","2","2","2","2","2","2","2","2","2","2","Guinea-Bissau"
"Kenya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","2","2","2","2","2","2","2","2","2","2","2","3","4","4","3","3","3","3","3","2","2","3","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","Kenya"
"Lesotho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2","2","2","3","3","3","3","3","3","3","3","3","3","3","2","2","2","2","3","2","2","2","3","3","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","Lesotho"
"Liberia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2","2","2","1","2","2","2","1","1","1","2","2","2","2","2","3","4","3","2","2","2","2","2",NA,NA,"5","5","5","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1","1","1","1","2","2","2","2","2","2","1","1","1","1","1","Liberia"
"Madagascar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",NA,NA,"2","2","2","2","2","2","2","2","1","2","1","1","2","2","2","2","2","2","2","2","2","2","1","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","Madagascar"
"Malawi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1","1","1","1","1","2","1","2","2","2","2","3","3","3","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","2","1","1","1","1","1","2","2","1","Malawi"
"Mali",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","3","2","3","3","2","2","2","2","2","2","2","2","2","2","2","2",NA,NA,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3","2","2","3","2","Mali"
"Mauritania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","4","3","3","3","3","3","2","2","2","2","2","2","2","2","2","3","2","3","3","3","2",NA,"3","3",NA,NA,"2","2","2","2","2","2","2","2","2","2","Mauritania"
"Mauritius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Mauritius"
"Mozambique",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","3","3","4","5","4","4","4","4","4","4","2","2","2","3","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","Mozambique"
"Namibia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","3","2","2","2","2","2","2","3","2","3","2","2","2","2","2","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","Namibia"
"Niger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,"2","1","1","1","2","2","2","2","1","1","2","1",NA,NA,"1","1","2","2","2","2","2",NA,"2","2","2","2","2","2","Niger"
