"","Country","SubRegion","X2020","X2021","Region","big2021","top10","top20"
"168","United States of America","North America",778397.2,800672.2,"North America","TRUE",TRUE,TRUE
"32","China","East Asia",257973.4,293351.9,"AsiaOceania","TRUE",TRUE,TRUE
"73","India","South Asia",72937.1,76598,"AsiaOceania","TRUE",TRUE,TRUE
"167","United Kingdom","Western Europe",60675,68366.4,"Europe","TRUE",TRUE,TRUE
"133","Russia","Eastern Europe",61712.5,65907.7,"Europe","TRUE",TRUE,TRUE
"57","France","Western Europe",52747.1,56647,"Europe","TRUE",TRUE,TRUE
"61","Germany","Western Europe",53211,56017,"Europe","TRUE",TRUE,TRUE
"136","Saudi Arabia","Middle East",64558.4,55564.3,"Middle East","FALSE",TRUE,TRUE
"81","Japan","East Asia",51970.8,54123.6,"AsiaOceania","TRUE",TRUE,TRUE
"146","South Korea","East Asia",45524,50226.9,"AsiaOceania","TRUE",TRUE,TRUE
"79","Italy","Western Europe",28921.3,32006.1,"Europe","TRUE",FALSE,TRUE
"8","Australia","Oceania",27300.9,31753.7,"AsiaOceania","TRUE",FALSE,TRUE
"28","Canada","North America",23281.3,26449.2,"North America","TRUE",FALSE,TRUE
"75","Iran","Middle East",15825.1,24589.1,"Middle East","TRUE",FALSE,TRUE
"78","Israel","Middle East",21816.6,24341,"Middle East","TRUE",FALSE,TRUE
"147","Spain","Western Europe",17431.8,19544.5,"Europe","TRUE",FALSE,TRUE
"21","Brazil","South America",19591.2,19187.1,"South America","FALSE",FALSE,TRUE
"162","Turkey","Middle East",17478.4,15478.9,"Middle East","FALSE",FALSE,TRUE
"112","Netherlands","Western Europe",13085.7,13752,"Europe","TRUE",FALSE,TRUE
"128","Poland","Central Europe",13718.3,13710.7,"Europe","FALSE",FALSE,TRUE
"154","Taiwan","East Asia",11923.7,12958.5,"AsiaOceania","TRUE",FALSE,FALSE
"131","Qatar","Middle East",0,11593.4,"Middle East","NoData",FALSE,FALSE
"121","Pakistan","South Asia",10394.5,11304.8,"AsiaOceania","TRUE",FALSE,FALSE
"33","Colombia","South America",9554.1,10180.1,"South America","TRUE",FALSE,FALSE
"3","Algeria","North Africa",9708.3,9112.5,"North Africa","FALSE",FALSE,FALSE
"86","Kuwait","Middle East",6941,9024.3,"Middle East","TRUE",FALSE,FALSE
"102","Mexico","Central America and the Caribbean",8044.9,8680.8,"Central America","TRUE",FALSE,FALSE
"74","Indonesia","South East Asia",9387,8259.3,"AsiaOceania","FALSE",FALSE,FALSE
"119","Norway","Western Europe",7269.9,8251.7,"Europe","TRUE",FALSE,FALSE
"63","Greece","Western Europe",5301.4,8079.9,"Europe","TRUE",FALSE,FALSE
"151","Sweden","Western Europe",6271.3,7887.4,"Europe","TRUE",FALSE,FALSE
"157","Thailand","South East Asia",7268.8,6604.5,"AsiaOceania","FALSE",FALSE,FALSE
"14","Belgium","Western Europe",5442.8,6311.5,"Europe","TRUE",FALSE,FALSE
"31","Chile","South America",5286.2,6230.4,"South America","TRUE",FALSE,FALSE
"165","Ukraine","Eastern Europe",5924.2,5942.8,"Europe","TRUE",FALSE,FALSE
